Building,Bed,Bath,Study,Floor Plan,URL,Floor Plan Viewer,SF,Orientation,Unit Numbers,Quantity,
Milago,2,2,FALSE,1216,https://drive.google.com/file/d/1Ky0Ae4-r2BMRdrV4ZKdjlds3e5z4biGW/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1Ky0Ae4-r2BMRdrV4ZKdjlds3e5z4biGW,"1,216",,,,
Milago,2,2,FALSE,1289,https://drive.google.com/file/d/1-_gYDCsJYHt4yunCCIefWfUz3tM6RwZN/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1-_gYDCsJYHt4yunCCIefWfUz3tM6RwZN,"1,289",,,,
Milago,2,2,FALSE,1650,https://drive.google.com/file/d/1SsorfIweF_UWwtojm9_pRlALl0y8EGXZ/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1SsorfIweF_UWwtojm9_pRlALl0y8EGXZ,"1,650",,,,
Milago,2,2,TRUE,1332,https://drive.google.com/file/d/1DIe1ehSXO5cX3qHQO45FOQnss97wg-Y6/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1DIe1ehSXO5cX3qHQO45FOQnss97wg-Y6,"1,332",,,,
Milago,2,2,TRUE,1341,https://drive.google.com/file/d/1hkn9tZV4jXVf9ZC7581dOLfuq6Oou0Bb/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1hkn9tZV4jXVf9ZC7581dOLfuq6Oou0Bb,"1,341",,,,
Milago,2,2,TRUE,1956,https://drive.google.com/file/d/1bKmhrOO-LKakXue_xfldTCEUdDvweeYi/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1bKmhrOO-LKakXue_xfldTCEUdDvweeYi,"1,956",,,,
Milago,2,2,TRUE,2418,https://drive.google.com/file/d/1QkQ5Nx0y4Ic2Zzefk9saa0J8OtwxVA7e/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1QkQ5Nx0y4Ic2Zzefk9saa0J8OtwxVA7e,"2,418",,,,
Milago,2,2.5,TRUE,1651,https://drive.google.com/file/d/13Dp4lXD3rHCFAIG8dd4gP7SCGXFACBWR/view?usp=drive_link,https://drive.google.com/uc?export=view&id=13Dp4lXD3rHCFAIG8dd4gP7SCGXFACBWR,1651,,,,
Milago,3,2,FALSE,1577,https://drive.google.com/file/d/1JGdzTipjz7AhyZ_oBGHqwdE5Qo4k5hDQ/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1JGdzTipjz7AhyZ_oBGHqwdE5Qo4k5hDQ,1577,,,,
Milago,3,3,FALSE,1927,https://drive.google.com/file/d/1794L4G22KWKHVWxlZiJmxCpBiSKETX_j/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1794L4G22KWKHVWxlZiJmxCpBiSKETX_j,1927,,,,
Milago,3,3,FALSE,2120,https://drive.google.com/file/d/1amE13cPyGcUwX4MelsjzlzfgOkKt-rQg/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1amE13cPyGcUwX4MelsjzlzfgOkKt-rQg,2120,,,,
Sabine on 5th,1,1,FALSE,PLAN B,https://drive.google.com/file/d/1xi5vGWClE2U6YK4DzfarRtU_qmlPU3q-/view?usp=drive_link,https://drive.google.com/uc?export=view&id=1xi5vGWClE2U6YK4DzfarRtU_qmlPU3q-,753,,,,
