source,buildingSlug,buildingName,unitNumber,status,closeDate,listingContractDate,closePrice,listPrice,originalListPrice,closePricePerSqft,listPricePerSqft,sqft,bedrooms,bathrooms,daysOnMarket,cumulativeDaysOnMarket,floorPlan,orientation,floorPlanSqft,floorPlanBeds,floorPlanBaths,floorPlanHasStudy,hoaFee,hoaFeeFrequency,yearBuilt,parkingFeatures,buyerFinancing,listAgentFullName,listOfficeName,buyerAgentFullName,buyerOfficeName,cpLp,cpOlp,previousListPrice,listingId,address,mlsArea
mls-csv-import,360-condominiums,360 Condominiums,2704,Closed,2025-08-15,2025-04-21,1050000,1230000,1295000,983.15,1151.69,1068,2,2,89,89,B8,W,998,2,2,false,1400,Monthly,2011,"Assigned, Covered, Valet",Cash,Sherry Harrison,Berkshire Hathaway TX Realty,Non Member,Non Member,0.8537,0.8108,1295000,9823662,210  Lavaca St  #2704,DT
mls-csv-import,360-condominiums,360 Condominiums,2312,Closed,2025-08-01,2025-03-25,1684000,1659000,1650000,1061.12,1045.37,1587,2,3,107,107,,,,,,,1805.16,Monthly,2011,"Garage, Reserved, Valet",Seller Financing,Dustin Mehaffey,MINDSET REALTY LLC,Chloe Cinfio,"Compass RE Texas, LLC",1.0151,1.0206,1665000,8598823,210  Lavaca St  #2312,DT
mls-csv-import,360-condominiums,360 Condominiums,3206,Withdrawn,,2025-07-21,,2885000,2885000,,1334.41,2162,3,3,10,10,A1,W,748,1,1,false,2625,Annually,2011,"Assigned, Attached",,Cameron Wofford,DEN Property Group,,,,,,2611941,210  Lavaca St  #3206,DT
mls-csv-import,360-condominiums,360 Condominiums,2203,Expired,,2025-06-06,,1199000,1249900,,1025.66,1169,1,1,112,112,A4,E,728,1,1,false,1579.41,Monthly,2011,"Attached, Covered, Garage, Reserved",,Ashley Arthur,"Compass RE Texas, LLC",,,,,1249900,5679185,210  Lavaca St  #2203,DT
mls-csv-import,360-condominiums,360 Condominiums,2608,Closed,2025-05-21,2025-03-15,8500,8500,8500,5.38,5.38,1579,2,2,67,250,A3,W,732,1,1,false,,,2011,"Attached, Garage, Reserved",,William Steakley,DEN Property Group,Elena Licari,"Compass RE Texas, LLC",1.0000,1.0000,,5795719,210  Lavaca St  #2608,DT
mls-csv-import,360-condominiums,360 Condominiums,3204,Closed,2025-05-19,2025-05-01,4995,4995,4995,4.68,4.68,1068,1,2,11,11,B8,W,998,2,2,false,,,2011,"Garage, Parking Permit Required",,Alex Atleski,Keller Williams Realty,Non Member,Non Member,1.0000,1.0000,,5551354,210  Lavaca St  #3204,DT
mls-csv-import,360-condominiums,360 Condominiums,2308,Active,,2025-05-05,,1575000,1750000,,997.47,1579,2,2,287,287,A3,W,732,1,1,false,2431,Monthly,2011,Assigned,,Debbie Pruitt,"eXp Realty, LLC",,,,,1600000,8734241,210  Lavaca St  #2308,DT
mls-csv-import,360-condominiums,360 Condominiums,2201,Withdrawn,,2025-04-10,,2850000,2850000,,1459.29,1953,2,3,22,63,A9,SEc,801,1,1,false,2200,Monthly,2011,"Attached, Garage, Secured, Storage",,Cameron Wofford,DEN Property Group,,,,,,3893134,210  Lavaca None  #2201,DT
mls-csv-import,360-condominiums,360 Condominiums,2213,Closed,2025-04-09,2025-02-05,4500,4500,4500,5.07,5.07,888,1,1,62,62,,,,,,,,,2011,Reserved,,William Steakley,DEN Property Group,Megan Colwart,DEN Property Group,1.0000,1.0000,,7198953,210  Lavaca St  #2213,DT
mls-csv-import,360-condominiums,360 Condominiums,2809,Closed,2025-04-04,2025-01-16,4100,3900,3900,6.4,6.08,641,1,1,77,77,B2,E,1244,2,2,false,,,2011,"Garage, Guest, Secured",,Kumara Wilcoxon,Kuper Sotheby's Int'l Realty,Nathan Gogo,Ashley Austin Homes,1.0513,1.0513,,6714915,210  Lavaca St  #2809,DT
mls-csv-import,360-condominiums,360 Condominiums,1615,Closed,2025-04-04,2025-02-04,464000,469500,475000,591.08,598.09,785,1,1,32,32,A8,E,785,1,1,false,756,Monthly,2008,"Assigned, Reserved",Cash,Catherine Blackwell,Platinum Realty-Austin,Wayne Lightfoot,Rose & Associates Properties,0.9883,0.9768,474500,7506631,360  Nueces St  #1615,DT
mls-csv-import,360-condominiums,360 Condominiums,2903,Active,,2025-04-03,,2099000,2400000,,970.86,2162,3,3,319,319,A4,E,728,1,1,false,3000,Monthly,2011,"Assigned, Enclosed, Gated, Inside Entrance, Lighted, Reserved, Underground",,Clift Bowman,Coldwell Banker Realty,,,,,2199000,1584803,210  Lavaca St  #2903,DT
mls-csv-import,360-condominiums,360 Condominiums,3103,Withdrawn,,2025-03-31,,5000,5200,,4.72,1059,1,1,77,218,A4,E,728,1,1,false,,,2011,"Garage, Reserved",,Joseph Yager,Uptown Realty LLC,,,,,5200,3152702,210  Lavaca St  #3103,DT
mls-csv-import,360-condominiums,360 Condominiums,3209,Closed,2025-03-28,2025-03-09,675000,695000,695000,1053.04,1084.24,641,1,1,5,5,B2,E,1244,2,2,false,601.36,Monthly,2011,"Assigned, Deeded, Garage, Gated, Storage, Underground",Cash,Cameron Wofford,DEN Property Group,Trey Phillips,Moreland Properties,0.9712,0.9712,,4053713,210  Lavaca St  #3209,DT
mls-csv-import,360-condominiums,360 Condominiums,2708,Closed,2025-03-22,2024-04-30,7000,7500,8500,4.43,4.75,1579,2,2,309,309,A3,W,732,1,1,false,,,2011,Reserved,,Katy McVey,Amarra Realty LLC,Zane Collins,KW-Austin Portfolio Real Estate,0.9333,0.8235,8000,9256366,210  Lavaca St  #2708,DT
mls-csv-import,360-condominiums,360 Condominiums,2311,Expired,,2025-03-01,,8000,8000,,5.62,1423,2,3,178,178,B6,NEc,1280,2,2,false,,,2011,"Attached, Reserved",,Alex Atleski,Keller Williams Realty,,,,,,3053639,210  Lavaca St  #2311,DT
mls-csv-import,360-condominiums,360 Condominiums,2311,Expired,,2025-02-27,,999900,1399900,,702.67,1423,2,3,176,177,B6,NEc,1280,2,2,false,1848,Monthly,2011,"Attached, Reserved",,Alex Atleski,Keller Williams Realty,,,,,1199900,5655485,210  Lavaca St  #2311,DT
mls-csv-import,360-condominiums,360 Condominiums,2201,Expired,,2025-02-27,,2850000,2950000,,1459.29,1953,2,3,41,41,A9,SEc,801,1,1,false,2200,Monthly,2011,"Attached, Garage, Secured, Storage",,Cameron Wofford,DEN Property Group,,,,,2950000,9867867,210  Lavaca None  #2201,DT
mls-csv-import,360-condominiums,360 Condominiums,2608,Withdrawn,,2025-02-12,,1850000,1850000,,1171.63,1579,2,2,97,97,A3,W,732,1,1,false,1975,Monthly,2011,"Attached, Garage, Reserved",,William Steakley,DEN Property Group,,,,,,4733151,210  Lavaca St  #2608,DT
